weight,AppName,Cores,DataSize,SchedulerDelay,MeanWaveTime,GCTime,TaskDeserializationTime,Stragglers,ExecutorRunTime,SDIncrease,MWTIncrease,GCIncrease,TDTIncrease,StragglerIncrease,ERTIncrease,Label,memUtil,commit,cpuUtil
1000,Lr,5,1,0.3,0.25,0.12,0.3,1.2,0.28,99.88901221,7.697947214,235.2941176,69.23076923,21.68674699,8.955223881,1,0.98,0.47,0.87
1000,Lr,5,1,0.216,0.471,0.083,0.1,0.766,0.273,71.92008879,14.50293255,162.745098,23.07692308,13.84337349,8.731343284,1,0.99,0.47,0.91
1000,Lr,5,1,0.0251,0.157,0.0217,0.038,0.266,0.137,8.357380688,4.83431085,42.54901961,8.769230769,4.807228916,4.381663113,2,0.98,0.62,0.56
1000,Lr,5,1,0.0142,0.083,0.0085,0.008,0.233,0.122,4.728079911,2.555718475,16.66666667,1.846153846,4.210843373,3.901918977,2,0.98,0.62,0.56
1000,Wc,5,1,0.0065,10,3.79,2,13,10.52,1.248399488,2.843601896,2.895339954,2.857142857,2.888888889,2.838129496,2,0.98,0.48,0.99
1000,Wc,5,1,0.0078,10,4.13,2,13,10.72,1.498079385,2.843601896,3.155080214,2.857142857,2.888888889,2.892086331,2,0.98,0.48,0.99
1000,Wc,5,1,0.6,6,2.6,1,7.2,5.98,115.2368758,1.706161137,1.986249045,1.428571429,1.6,1.613309353,1,0.96,0.45,0.95
1000,So,5,1,0.0046,5,0.0431,1,7,5.52,0.296137339,1.339285714,0.140803659,1.578947368,1.85840708,1.735849057,2,0.98,0.39,0.98
1000,So,5,1,0.0097,6,0.072,2,7.9,6.23,0.624463519,1.607142857,0.235217249,3.157894737,2.097345133,1.959119497,2,0.98,0.37,0.98
1000,So,5,1,0.0027,3.7,0.038,1,5,3.92,0.173819743,0.991071429,0.124142437,1.578947368,1.327433628,1.232704403,1,0.96,0.33,0.88
1000,So,5,1,0.162,3.8,0.261,30,4.8,3.68,10.42918455,1.017857143,0.852662529,47.36842105,1.274336283,1.157232704,2,0.98,0.62,0.6
1000,So,5,1,0.127,3.6,0.226,1,5,3.81,8.175965665,0.964285714,0.73832081,1.578947368,1.327433628,1.198113208,2,0.98,0.62,0.6
1000,Q26,5,1,0.0027,0.9,0.0155,0.012,0.75,0.548,1.064388962,3.529411765,2.74822695,0.112852665,2.941176471,2.644787645,2,0.95,0.2,0.85
1000,Q26,5,1,0.0036,0.408,0.0113,0.011,0.433,0.372,1.419185283,1.6,2.003546099,0.103448276,1.698039216,1.795366795,1,0.96,0.24,0.9
1000,Q26,5,1,0.036,1.25,0.106,0.3,1.4,0.91,14.19185283,4.901960784,18.79432624,2.821316614,5.490196078,4.391891892,1,0.98,0.34,0.91
1000,Q26,5,1,0.0037,0.8,0.0155,0.025,0.633,0.492,1.458607096,3.137254902,2.74822695,0.235109718,2.482352941,2.374517375,1,0.53,0.2,0.98
1000,Q26,5,1,0.0174,2.05,0.0749,0.063,2.5,1.26,6.859395532,8.039215686,13.28014184,0.592476489,9.803921569,6.081081081,2,0.98,0.68,0.57
1000,Q26,5,1,0.1,4.05,0.32775,0.022,7,4.16,39.4218134,15.88235294,58.11170213,0.206896552,27.45098039,20.07722008,2,0.98,0.82,0.44
1000,Wc,5,1,0.29,10,6.939,0.7,15,11.23,55.6978233,2.843601896,5.300993125,1,3.333333333,3.029676259,2,0.98,0.55,0.64
1000,Lr,5,1,0.0025,0.035,0.000566,0.005,0.05,0.0337,0.832408435,1.07771261,1.109803922,1.153846154,0.903614458,1.07782516,2,0.98,0.55,0.69
1000,Q26,5,1,0.0012,0.341,0.0053,0.006,0.283,0.235,0.473061761,1.337254902,0.939716312,0.056426332,1.109803922,1.134169884,2,0.98,0.96,0.42
1000,Mm,5,1,0.0027,0.1,0.0017,0.6,0.083,0.086,1.319218241,0.190909091,1.099137931,1.125,0.933983496,0.982482864,2,0.98,0.35,0.72
1000,Mm,5,1,0.0055,0.116,0.00225,0.7,0.1,0.098,2.687296417,0.221454546,1.454741379,1.3125,1.12528132,1.119573496,2,0.98,0.6,0.65
1000,Lr,5,1,0.00199,0.035,0.000566,0.005,0.05,0.0356,0.662597114,1.07771261,1.109803922,1.153846154,0.903614458,1.138592751,1,0.98,0.16,0.7
1000,Lr,5,1,0.00321,0.033,0.00068,0.0006,0.083,0.0339,1.068812431,1.016129032,1.333333333,0.138461539,1.5,1.084221748,1,0.98,0.17,0.82
1000,Mm,5,1,0,0.083,0.00218,0.6,0.083,0.0795,0,0.158454546,1.409482759,1.125,0.933983496,0.908225438,1,0.94,0.22,0.68
1000,Mm,5,1,0.00719,0.1,0.00228,0.6,0.083,0.0828,3.513029316,0.190909091,1.474137931,1.125,0.933983496,0.945925362,1,0.98,0.22,0.83
1000,Mm,5,1,0,0.0116,0.00201,0.8,0.1,0.0977,0,0.022145455,1.299568966,1.5,1.12528132,1.11614623,1,0.98,0.24,0.94
1000,So,5,1,0.0016,2.65,0.0302,1,3.3,2.74,0.103004292,0.709821429,0.098660568,1.578947368,0.876106195,0.86163522,1,0.98,0.33,0.83
1000,So,5,1,0.0085,2.95,0.0366,0.8,3.7,3.05,0.5472103,0.790178571,0.119568768,1.263157895,0.982300885,0.959119497,1,0.64,0.17,0.95
1000,Q26,5,1,0.00207,0.308,0.00856,0.2,0.35,0.282,0.816031538,1.207843137,1.517730496,1.880877743,1.37254902,1.361003861,1,0.93,0.21,0.84
1000,Q26,5,1,0.00279,0.4,0.00583,0.006,0.366,0.267,1.099868594,1.568627451,1.033687943,0.056426332,1.435294118,1.288610039,1,0.91,0.21,0.92
1000,Wc,5,1,0.00699,3.9,1.45,0.7,4.8,4.096,1.342509603,1.109004739,1.107715814,1,1.066666667,1.105035971,1,0.98,0.41,0.72
1000,Wc,5,1,0.0136,4.05,1.5181,0.7,5.1,4.262,2.612035851,1.151658768,1.15974026,1,1.133333333,1.149820144,1,0.98,0.41,0.84
1000,Wc,5,1,0.0103,4.55,1.7,0.9,5.5,4.719,1.978233035,1.293838863,1.298701299,1.285714286,1.222222222,1.273111511,1,0.98,0.41,0.97
1000,Q9,5,1,0.00343,0.277,0.00815,0.01,0.35,0.276,0.932910245,1.238450075,1.746428571,0.405405405,1.166666667,1.191195511,2,0.49,0.18,0.85
1000,Q9,5,1,0.00313,0.6,0.00625,0.006,0.45,0.166,0.851314597,2.682563338,1.339285714,0.243243243,1.5,0.716443677,2,0.53,0.19,0.98
1000,Q9,5,1,0.00317,0.6,0.0134,0.058,0.7,0.604,0.862194016,2.682563338,2.871428571,2.351351351,2.333333333,2.606819163,2,0.51,0.18,0.99
1000,Q9,5,1,0.00234,0.255,0.007,0.045,0.316,0.258,0.636446056,1.140089419,1.5,1.824324324,1.053333333,1.113508848,1,0.54,0.2,0.88
1000,Q9,5,1,0.0026,0.305,0.0093,0.014,0.366,0.312,0.707162285,1.363636364,1.992857143,0.567567568,1.22,1.346568839,1,0.54,0.2,0.93
1000,Q9,5,1,0.00202,0.4,0.0107,0.074,0.483,0.403,0.549410698,1.788375559,2.292857143,3,1.61,1.739318084,1,0.58,0.22,0.93
1000,Q9,5,1,0.00468,0.25,0.0069,0.013,0.316,0.257,1.272892112,1.117734724,1.478571429,0.527027027,1.053333333,1.109192922,1,0.49,0.18,0.66
1000,Q9,5,1,0.001152,0.283,0.0083,0.043,0.33,0.281,0.313327289,1.265275708,1.778571429,1.743243243,1.1,1.21277514,1,0.49,0.18,0.85
